lat,lon,P
17.89472222,73.40111111,0.19944950243489307
17.89472222,73.40138889,0.19479144611475757
17.89472222,73.40222222,0.19013338979462205
17.89472222,73.40305556,0.2041075587550286
17.89472222,73.40333333,0.18547533347448653
17.89472222,73.40388889,0.19013338979462205
17.89472222,73.40416667,0.19479144611475757
17.89472222,73.40444444,0.18547533347448653
17.89472222,73.40472222,0.2041075587550286
17.89472222,73.40555556,0.2041075587550286
17.89472222,73.40694444,0.19013338979462205
17.89472222,73.40888889,0.19479144611475757
17.89472222,73.43388889,0.19013338979462205
17.89472222,73.48111111,0.19479144611475757
17.89472222,73.48222222,0.19479144611475757
17.9125,74.90333333,0.2674147787423248
17.91333333,74.64,0.09019690874444208
17.92888889,75.36361111,0.24751217446538215
17.94222222,74.88333333,0.2724962947279272
17.94666667,74.87388889,0.22189286470463687
17.94666667,74.87472222,0.2000846919330934
17.94888889,74.84638889,0.27927164937539695
17.94888889,74.84694444,0.2589455854329875
17.94972222,74.84694444,0.26402710141858987
17.95,74.84611111,0.28223586703366504
17.95027778,74.84666667,0.26148634342578864
17.95027778,74.85222222,0.2832945161973322
17.95055556,74.84638889,0.3859834850730467
17.95055556,74.84777778,0.3893711623967816
17.95083333,74.84805556,0.27927164937539695
17.95083333,74.85611111,0.38810078340038107
17.95083333,74.87611111,0.28223586703366504
17.95111111,74.85444444,0.21702307855176792
17.95138889,74.85361111,0.21914037687910223
17.95138889,74.85583333,0.21659961888630108
17.95166667,74.84805556,0.2832945161973322
17.95166667,74.85138889,0.26656785941139105
17.95166667,74.85805556,0.2847766250264662
17.95166667,74.86527778,0.2602159644293881
17.95194444,74.85305556,0.30044463264874016
17.95194444,74.85666667,0.32585221257675206
17.95222222,74.85194444,0.27927164937539695
17.9525,74.87,0.3859834850730467
17.95277778,74.85583333,0.2813889477027313
17.95305556,74.84972222,0.3859834850730467
17.95305556,74.85666667,0.2813889477027313
17.95305556,74.85722222,0.2938810078340038
17.95333333,74.84861111,0.3885242430658479
17.95333333,74.85611111,0.2589455854329875
17.95333333,74.86638889,0.28350624603006563
17.95333333,74.87583333,0.21702307855176792
17.95444444,74.84944444,0.2589455854329875
17.95444444,74.89638889,0.3110311242854118
17.95472222,74.8625,0.28350624603006563
17.95472222,74.88416667,0.30467922930340885
17.955,74.87027778,0.2938810078340038
17.95527778,74.83472222,0.25809866610205373
17.95527778,74.86055556,0.2813889477027313
17.95527778,74.86111111,0.26106288376032183
17.95527778,74.86138889,0.28435316536099936
17.95527778,74.86166667,0.28265932669913185
17.95555556,74.84944444,0.25809866610205373
17.95555556,74.85611111,0.3897946220622485
17.95555556,74.86222222,0.2589455854329875
17.95555556,74.86583333,0.27122591573152655
17.95555556,74.86694444,0.26656785941139105
17.95555556,74.87333333,0.26106288376032183
17.95555556,74.87555556,0.2602159644293881
17.95583333,74.87305556,0.2839297056955325
17.95583333,74.87444444,0.26847342790599193
17.95583333,74.8775,0.2642388312513233
17.95611111,74.87194444,0.3241583739148846
17.95611111,74.875,0.21702307855176792
17.95638889,74.84944444,0.30679652763074317
17.95638889,74.87166667,0.28011856870633073
17.95638889,74.87555556,0.28350624603006563
17.95666667,74.85111111,0.24539487613804783
17.95666667,74.87583333,0.28054202837179754
17.95722222,74.85333333,0.36396358246876975
17.95722222,74.85472222,0.2602159644293881
17.95722222,74.85916667,0.26402710141858987
17.9575,74.85,0.23692568282871054
17.9575,74.85972222,0.2938810078340038
17.9575,74.86861111,0.26148634342578864
17.9575,74.87472222,0.2424306584797798
17.95777778,74.89055556,0.24327757781071352
17.95805556,74.85,0.34914249417742954
17.95805556,74.86611111,0.26106288376032183
17.95805556,74.87222222,0.2602159644293881
17.95805556,74.87833333,0.2623332627567224
17.95833333,74.85583333,0.2030489095913614
17.95833333,74.85972222,0.288587762015668
17.95861111,74.88805556,0.22125767520643658
17.95888889,74.85722222,0.26656785941139105
17.95888889,74.87694444,0.272919754393394
17.95916667,74.85388889,0.24327757781071352
17.95916667,74.85638889,0.34279059919542654
17.95916667,74.86527778,0.28350624603006563
17.95916667,74.89472222,0.23692568282871054
17.95944444,74.85055556,0.25809866610205373
17.95944444,74.87583333,0.26402710141858987
17.95944444,74.87777778,0.26402710141858987
17.95972222,74.8725,0.2623332627567224
17.95972222,74.895,0.3406733008680923
17.95972222,75.52055556,0.26445056108405673
17.96,74.85888889,0.2938810078340038
17.96,74.85972222,0.26318018208765614
17.96,74.87416667,0.2589455854329875
17.96027778,74.8675,0.23777260215964427
17.96027778,74.91388889,0.24539487613804783
17.96055556,74.855,0.30044463264874016
17.96055556,74.85888889,0.2623332627567224
17.96055556,74.86083333,0.26402710141858987
17.96055556,74.8625,0.28054202837179754
17.96055556,74.86694444,0.25153504128731735
17.96055556,74.875,0.2860470040228668
17.96083333,74.85722222,0.3660808807961041
17.96083333,74.86138889,0.26402710141858987
